id,title,price,userRate,recommendationCount,description,"کیفیت ساخت","سهولت در استفاده","امکانات و قابلیت ها","ارزش خرید به نسبت قیمت"
211360,"Sony Playstation 4 Slim Region 2 CUH-2016A 500GB Bundle Game Console
مجموعه کنسول بازي سوني مدل Playstation 4 Slim کد CUH-2016A ريجن 2 - ظرفيت 500 گيگابايت","1,359,000",۳.۹,0,,4,3.9,3.8,4,3.5
210919,"هدست پلنترونيکس مدل Rig 500HS
Plantronics Rig 500HS Headset","429,000",,0,,,,,,
210873,"IGamer Final Fantasy Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح فاینال فانتزی","39,000",,0,,,,,
210771,"هدست پلنترونيکس مدل Gamecom 818
Plantronics Gamecom 818 Headset","439,000",,0,,,,,,
208337,"بازي Battlefield 1 مخصوص Xbox One
Xbox One Battlefield 1 Game","219,000",۴,0,,4,4,4,4,4,4
207225,"IGamer Real Madrid Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Real Madrid","39,000",۵,0,,,,,
207218,"IGamer Drive Club Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Drive Club","39,000",,0,,,,,
207210,"IGamer Assassins Creed Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Assassins Creed","39,000",,0,,,,,
203990,"IGamer Barca Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Barca","39,000",۵,0,,,,,
203283,"Wensoni Why So Serious DualShock 4 Lightbar Sticker
برچسب دوال شاک 4 ونسونی طرحWhy So Serious","9,000",,0,,,,,
203282,"Wensoni Joker Cowards DualShock 4 Lightbar Sticker
برچسب دوال شاک 4 ونسونی طرح Joker Cowards","9,000",۴.۶,0,,4.4,4.6,4.6,4.6
203281,"Wensoni Halloween HaHa DualShock 4 Lightbar Sticker
برچسب دوال شاک 4 ونسونی طرح Halloween HaHa","9,000",,0,
201515,"IGamer Diablo Play Station 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح Diablo","39,000",,0,,,,,
201514,"IGamer Driver Club Play Station 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح Driver Club","39,000",۵,0,,,,,
201512,"IGamer Destiny Play Station 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح Destiny","39,000",,0,,,,,
201504,"IGamer Over Watch Play Station 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح Over Watch","39,000",,0,,,,,
201428,"برچسب دوال شاک 4 آی‌ گیمر طرح Unknown2
iGamer Unknown2 DualShock 4 Lightbar Sticker","9,000",,0,,,,,
201366,"IGamer Joker Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Joker","39,000",۳.۴,0,,3,3,3,4
201070,"IGamer Uncharted 4 PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح Uncharted 4","39,000",۴.۲,0,,4.3,3.7,4.3,4.3
201056,"iGamer Fire Watch DualShock 4 Lightbar Sticker
برچسب دوال شاک 4 آی‌ گیمر طرح Fire Watch","9,000",۳,0,,3,3,3,3
201055,"IGamer The Last Guardian PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح The Last Guardian","39,000",,0,,,,,
201052,"IGamer Snow PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح Snow","39,000",۵,0,,,,,
201049,"IGamer Final Fantasy PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح Final Fantasy","39,000",,0,,,,,
201034,"IGamer Final Fantasy PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح Final Fantasy","39,000",,0,,,,,
201032,"IGamer Final Fantasy PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح Final Fantasy","39,000",,0,,,,,
200446,"IGamer Assassins Creed PlayStation 4 Horizontal Cover
برچسب افقي پلي استيشن 4 آي گيمر طرح Assassins Creed","39,000",۵,0,,,,,
200445,"IGamer Mafia 3 PlayStation 4 Horizontal Cover
برچسب افقي پلي استيشن 4 آي گيمر طرح Mafia 3","39,000",,0,,,,,
200440,"iGamer Drive Club DualShock 4 Lightbar Sticker
برچسب دوال شاک 4 آی‌ گیمر طرح Drive Club","9,000",,0,,,,,
200439,"iGamer W2K17 DualShock 4 Lightbar Sticker
برچسب دوال شاک 4 آی‌ گیمر طرح W2K17","9,000",,0,,,,,
200434,"IGamer Dishonored 2 PlayStation 4 Horizontal Cover
برچسب افقي پلي استيشن 4 آي گيمر طرح Dishonored 2","39,000",۵,0,,,,,
200431,"Igamer Unknown7 Sticker for Lightbar DualShock 4
برچسب دوال شاک 4 آی‌گیمر طرح Unknown7","9,000",,0,,,,,
200424,"IGamer Angry Birds PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح Angry Birds","39,000",,0,,,,,
200402,"IGamer Tree Trunk PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 آی گیمر طرح Tree Trunk","39,000",۵,0,,,,,
200397,"iGamer Superman DualShock 4 Lightbar Sticker
برچسب دوال شاک 4 آی‌گیمر طرح Superman","9,000",,0,,,,,
199028,"PlayStation 4 Final Fantasy XIV Cover
برچسب پلي استيشن 4 مدل Final Fantasy XIV","18,000",,0,,,,,
199022,"PlayStation 4 Wolfenstein New Order Cover
برچسب پلي استيشن 4 مدل Wolfenstein New Order","18,000",۵,0,,,,,
199017,"PlayStation 4 Manchester United Cover
برچسب پلي استيشن 4 مدل Manchester United","17,000",,0,,,,,
199003,"PlayStation 4 Transformers Cover
برچسب پلي استيشن 4 مدل Transformers","35,000",,0,,,,,
198986,"Xbox One Controller Need For Speed Cover
محافظ دسته ايکس باکي وان مدل Need For Speed","18,000",۴.۱,0,,4.2,3.7,4,4.3
198980,"DualShock 4 Dragon Cover
محافظ دوال شاک 4 مدل Dragon","22,000",۴.۶,0,,4.7,4.4,4.8,4.6
197568,"Sony PlayStation VR
عينک واقعيت مجازي سوني مدل PlayStation VR","1,933,000",۳.۴,0,,4,3.7,3.8,2.7
195793,"Wensoni Dep Joker PlayStation 4 Vertical Cover
برچسب عمودي پلي استيشن 4 ونسوني طرح Dep Joker","59,000",۴.۵,0,,,,3.5,4.5
