id,bestEntropyAspectId,text,like,dislike,1-rate,2-rate,3-rate,4-rate,5-rate,6-rate,1-entropy,2-entropy,3-entropy,4-entropy,5-entropy,6-entropy
91,6,"ماهه گوشی گوشی خوبیه بازی اگه بخواین بازی کنین باهاش مدتی باتریش ضعیف میشه",6,0,5,4,4,5,5,4,-1.4211542578559,-1.3434018111808,-1.3965324482884,-1.3465104029486,-1.3322821662954,-1.4856156879268
92,6,"داغ میکنه",6,0,5,4,4,5,5,4,-1.4690754394819,-1.3465749959865,-1.4048754618717,-1.3634219364445,-1.3180153189019,-1.5102050112651
93,6,"بخواین ازش معمولی کنین گوشی خوبیه هنگ نمیکنه",6,0,5,4,4,5,5,4,-1.4271113524944,-1.3699593554438,-1.4204802589015,-1.368803479213,-1.3417454575135,-1.5042019043129
94,6,"برنامه اجرا میکنه ومن خریدش راضیم دوربینش خوبه خریدش نکنید مطمن پشیمون نمیشین واقعیت امید وارم راهنمایی خوبی",6,0,5,4,4,5,5,4,-1.322165433094,-1.2477654973369,-1.2965275774794,-1.2619980148431,-1.2346495751632,-1.4161190421519
95,6,"نزدیک سال میشه دارمش پشیمون نشدم خریدش",3,0,3,4,3,4,4,3,-1.3777770802394,-1.2624512986596,-1.3233746762915,-1.2943146646926,-1.2669996000142,-1.4307966648256
97,6,"گوشی میشه",4,6,2,3,3,5,5,4,-1.4596502390718,-1.3577812925962,-1.4079347801824,-1.3652771506642,-1.3550715657499,-1.5127952923968
98,1,"چیزش ایده آله بعضی نمیده",4,6,2,3,3,5,5,4,-1.5082038107141,-1.3740242755393,-1.3518391559524,-1.3191987814097,-1.2811636792855,-1.4842946446646
99,6,"مثال برند هواوی تغییر فونت گوشی پشتیبانی کنه نمیتونید کار بدید باکمی زیاد داغ میشه",4,6,2,3,3,5,5,4,-1.4441938054465,-1.3236575750316,-1.3665563904696,-1.3626449522381,-1.3524277959961,-1.5225921646248
100,6,"اونایی میخوان چیزش تکمیل باشه",4,6,2,3,3,5,5,4,-1.4690222002717,-1.32527832877,-1.3525485710496,-1.3434880613494,-1.304776223224,-1.4828913844263
101,6,"قابلیت گوشی پیشنهاد میکنم بدنه فلزی گوشی خواهشی گوشی نکردید الکی نظر نذارید درست تصمیم",4,6,2,3,3,5,5,4,-1.4213296531214,-1.3220390181026,-1.3507266506494,-1.291248315201,-1.3048197073936,-1.451461628997
