id,price,userRate,recommendationCount,"کیفیت ساخت",نوآوری,"امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر","ارزش خرید به نسبت قیمت"
197527,"699,000",۳.۶,0,3.8,3.4,3.5,3.4,3.9,3.3
196978,"135,000",۲,0,2.2,1.9,1.8,2,2.2,2.3
195075,"300,000",۳.۷,0,3.7,3.4,3.6,3.7,4,3.8
195014,,,0,,,,,,
194994,,,0,,,,,,
193630,"1,590,000",۳,0,3.4,2.9,2.8,3.1,2.9,2.4
189737,"1,999,000",۳.۹,0,4,3.9,4.1,3.9,3.8,3.7
189628,,,0,,,,,,
189566,,,0,,,,,,
189518,,,0,,,,,,
188695,"349,000",۳.۳,0,3.3,3,3.2,3.6,3.2,3.3
186721,,,0,,,,,,
185800,"1,999,000",۴,0,4.2,3.9,4.1,4,4.1,3.4
184047,"875,000",۳.۹,0,3.9,3.9,4,3.9,3.8,3.9
183989,"3,669,000",۳.۷,0,4,3.5,3.7,3.7,3.8,3.1
183986,"3,199,000",۴,0,4.3,3.8,4.1,3.9,4.1,3.3
183945,"2,869,000",۳.۷,0,4,3.5,3.7,3.6,3.8,3.2
181451,,,0,,,,,,
181419,"1,069,000",۳.۸,0,3.9,3.5,3.8,3.8,3.9,3.7
181344,"575,000",۳.۸,0,3.7,3.7,3.9,3.8,3.8,3.8
178721,,,0,,,,,,
178556,"1,435,000",۳.۵,0,3.6,3.4,3.5,3.7,3.6,3.1
177716,"919,000",۳.۱,0,3.5,2.6,2.9,3.4,3.5,2.6
177688,"1,395,000",۴,0,4,3.9,4.1,4.1,4.1,3.9
176205,,,0,,,,,,
175243,,,0,,,,,,
175162,,,0,,,,,,
174489,,,0,,,,,,
174172,"3,139,000",۳.۵,0,3.9,3.2,3.6,3.5,3.7,3
174078,"3,469,000",۳.۷,0,4.1,3.5,3.8,3.7,3.8,3.2
173771,"299,000",۳.۱,0,2.9,2.9,3.1,3.4,2.9,3.4
173526,,,0,,,,,,
172945,"1,979,000",۳.۹,0,4.1,3.6,3.9,4,3.9,3.5
169502,,,0,,,,,,
168051,,,0,,,,,,
155755,,,0,,,,,,
155747,,,0,,,,,,
155349,"399,000",۳.۵,0,3.5,3.4,3.6,3.6,3.4,3.7
153949,"889,000",۳.۵,0,3.6,3.4,3.5,3.7,3.6,3.5
153937,,,0,,,,,,
150150,,,0,,,,,,
149656,,,0,,,,,,
148982,,,0,,,,,,
148974,"2,125,000",۳.۳,0,3.4,3.4,3.5,3.2,3.1,2.8
147983,"499,000",۳.۶,0,3.4,3.4,3.7,3.6,3.5,3.9
147243,,,0,,,,,,
147100,"579,000",۳.۶,0,3.6,3.5,3.6,3.7,3.7,3.7
147076,,,0,,,,,,
145805,,,0,,,,,,
145585,,,0,,,,,,
140371,,,0,,,,,,
139131,,,0,,,,,,
139125,"329,000",۳.۷,0,3.6,3.4,3.6,3.6,3.8,4
137968,"739,000",۴,0,3.9,3.8,4,4,4,4
137275,"439,000",۳.۴,0,3.5,3.1,3.3,3.5,3.3,3.5
135951,,,0,,,,,,
134691,"650,000",۳.۲,0,3.3,3.1,3.4,3.2,3.1,3.3
134390,,,0,,,,,,
134279,,,0,,,,,,
133959,"2,255,000",۳.۸,0,3.8,3.7,3.9,3.7,3.9,3.4
133007,"1,899,000",۳.۷,0,4.1,3.3,3.8,3.9,3.9,3.2
133006,,,0,,,,,,
132968,,,0,,,,,,
132444,,,0,,,,,,
132433,,,0,,,,,,
132131,,,0,,,,,,
131303,,,0,,,,,,
130922,,,0,,,,,,
130911,,,0,,,,,,
130403,,,0,,,,,,
130217,,,0,,,,,,
129378,"835,000",۳.۷,0,3.7,3.6,3.6,3.7,4,3.5
129350,"1,229,000",۳.۷,0,3.9,3.6,3.8,3.8,3.7,3.4
128976,"2,295,000",۴,0,4.1,3.8,4.1,4,4,3.7
224623,"799,000",۳.۸,0,4,3.5,4,4.5,3.5,3
223027,"639,000",۳.۸,0,3.8,3.7,3.8,3.8,3.7,4
200760,"249,000",,0,,,,,,
199558,"239,000",,0,,,,,,
134279,"1,399,000",۳.۷,0,3.8,3.7,3.7,3.6,3.8,3.7
224623,"799,000",۳.۸,0,4,3.5,4,4.5,3.5,3
223027,"639,000",۳.۸,0,3.8,3.7,3.8,3.8,3.7,4
200760,"249,000",,0,,,,,,
199558,"239,000",,0,,,,,,
128868,"1,639,000",۳.۸,0,3.8,4,4.1,3.9,3.4,3.8
226033,"2,395,000",۳.۳,0,3.7,3.2,3.3,3.5,3.3,2.3
226017,"2,495,000",۳.۵,0,3.6,3.2,3.4,3.6,3.6,3.2
224623,"799,000",۳.۸,0,4,3.5,4,4.5,3.5,3
223027,"639,000",۳.۸,0,3.8,3.7,3.8,3.8,3.7,4
200760,"249,000",,0,,,,,,
199558,"239,000",,0,,,,,,
128846,"2,049,000",۳.۸,0,3.9,3.5,3.9,3.8,3.7,3.5
128256,"675,000",۳.۷,0,3.7,3.5,3.7,3.7,3.9,3.9
126275,"2,299,000",۳.۸,0,3.9,3.7,4,3.9,4,3.4
125598,"1,639,000",۴.۱,0,4.2,4,4.1,4,4,3.9
226033,"2,395,000",۳.۷,0,3.8,3.4,3.8,3.8,3.7,3.2
226017,"2,495,000",۳.۶,0,3.9,3.4,3.7,3.6,3.6,3.2
224623,"799,000",۳.۸,0,4,3.5,4,4.5,3.5,3
223027,"639,000",۳.۸,0,3.8,3.7,3.8,3.8,3.7,4
200760,"249,000",,0,,,,,,
199558,"239,000",,0,,,,,,
124267,"2,599,000",۲.۶,0,3.4,2.6,2.2,2.6,2.9,2.2
123802,"330,000",۳.۵,0,3.4,3.1,3.4,3.7,3.5,3.8
120499,"675,000",۳.۹,0,3.9,3.8,3.9,3.8,3.9,4.1
111158,"1,485,000",۳.۷,0,3.9,3.6,3.6,3.7,3.9,3.3
111138,"1,215,000",۳.۸,0,3.9,3.6,3.7,3.8,4,3.5
111117,"889,000",۳.۷,0,3.9,3.5,3.5,3.8,4,3.5
226033,"2,395,000",۳.۸,0,3.9,3.6,3.9,3.9,3.8,3.5
224623,"799,000",۳.۸,0,4,3.5,4,4.5,3.5,3
223027,"639,000",۳.۷,0,3.7,3.6,3.7,3.7,3.6,3.9
200760,"249,000",,0,,,,,,
199558,"239,000",,0,,,,,,
