id,price,userRate,recommendationCount,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
224526,"4,795,000",,0,,,,,,
222347,"499,000",۳,0,3,3,3,3,3,3
226565,"6,055,000",۳.۲,0,3,3.3,3,3.3,3.3,3.3
226560,"4,195,000",۴.۹,0,4,,,,,
226549,"5,195,000",,0,,,,,,
224539,"5,645,000",,0,,,,,,
224529,"3,799,000",,0,,,,,,
224526,"4,795,000",,0,,,,,,
222347,"499,000",۳,0,3,3,3,3,3,3
212601,"7,097,000",۲.۵,0,2.5,2.5,2.5,2.5,2.5,2.5
202582,"4,849,000",۴,0,4,4,4,4,4,4
199423,"5,949,000",,0,,,,,,
199418,"3,995,000",,0,,,,,,
199356,"9,797,000",۲.۶,0,2.2,2.3,3,2.7,2.5,2.7
199345,"6,197,000",۳,0,1.7,3.3,3.3,3,3.3,2.7
199324,"4,197,000",۴.۸,0,4.7,,,,,4
199312,"5,197,000",۳.۸,0,3,4,3.5,4,4,4
133008,,,0,,,,,,
128409,,,0,,,,,,
125132,"530,000",۳.۴,0,3.6,3.6,3.4,3.4,3.4,3.3
118378,,,0,,,,,,
112382,,,0,,,,,,
107954,,,0,,,,,,
107951,,,0,,,,,,
105515,,,0,,,,,,
100137,,,0,,,,,,
97184,"2,095,000",۴,0,4.1,4.2,3.9,4.1,4.1,3.8
96191,,,0,,,,,,
96133,,,0,,,,,,
96120,,,0,,,,,,
93944,,,0,,,,,,
93928,,,0,,,,,,
90627,,,0,,,,,,
85128,,,0,,,,,,
74122,"425,000",۳.۲,0,3.4,3.4,3.2,3.4,3.1,3
