positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"[""صفحه نمايش با کيفيت .\nکارت گرافيک قدرتمند.\nوزن مناسب\nطراحي زيبا ""]","[""کيفيت ساخت \nعمر باطري""]","با یکی از بهترین 15 اینچی های بازار روبرو هستیم که شاید نظیر اون در برندهای دیگر به راحتی قابل دستیابی نباشه.کمتر لب تاپی با صفحه نمایش 15 اینچ در بازار موجود هست که به کارت گرافیک قدرتمند gtx m970 مجهز شده باشه این کارت گرافیک خیال شما رو از اجرای تمام بازی ها و برنامه های گرافیکی راحت میکنه .cpu دستگاه هم یکی از بهترین ها هست و قدرت مناسبی داره بعلاوه کم مصرف هم هست و از نسل های گذشته خودش قدرت بیشتر و مصرف انرژی کمتری داره و گرامای کمتری تولید میکنه.ظاهر دستگاه حس یک لبتاپ گیمینگ رو بهتر القا میکنه البته در بحث انتخاب ظاهر دستگاه سلیقه افراد متفاوت هست. اما چرا قیمت دستگاه کمی از رقبای 15 اینچی دیگش بالاتر هست .استفاده از حافظه ssd .استفاده از کارت گرافیک m970.استفاده از 16 gig رم ddr4.به نظرم این دستگاه یه انتخاب مناسب برای گیمرهایی هست که احتیاج به یک سیستم جمع و جور و قابل حمل دارن.",12,3,5,5,3,4,5,4
,,"دوستان صفحه نمایش 4k برای ابعاد کوچیک یک عیب محسوب میشه چون در این نوع صفحه نمایش ها تراکم پیکسلی بالاست باید ابعاد تصویر بزرگ باشه تا بتونه این تراکم پیگسلی رو ساپورت بده در حالی که لب تاپ ها حد اکثر 17 اینچی هستند و 17 اینچ ابعاد کوچکی هست برای 4k. این نقل از فروشندگان بود خواستم اطلاع رسانی کرده باشم. در ضمن نگران 4k بودن یا نبودن نباشید چون نه فیلم ها و نه بازی ها 4k درست نمیشن به جز ی تعداد خیلی خیلی خیلی خیلی محدود که اصلا در نظر نمیاد این تعداد.",6,8,3,3,3,3,3,3
"[""عالي بودن سخت افزار"",""طرح hero باعث شده لپتاپ حالت گيمينگ بگيره و جالبه""]",,"منظورش اینه که سیستم عامل نداره",1,6,5,5,5,5,5,3
"[""رم ddr4 بالا و پردازنده i7 ""]","[""صفحه نمايش 4k ندارد""]","با توجه به سخت افزار های با کیفیت که دارد قادر به اجرای عالی بازی های سنگین است. و در کنار این کیفیت فکر میکنم این قیمت مناسب باشد. صفحه نمایش full HD عالی است ولی میتونست 4k باشه تا دیگه هیچ نقصی نداشه باشه.
در کل ارزش خرید داره.",4,6,4,5,5,4,5,3
,,"این لبتاپ عالی نیست، خیلی خیلی عالیه.",10,3,5,5,5,5,5,5
"اگه پول ميرسيد ميخواستم همينو بخرم",هيچ,"واقعا قیمتش خوبه نسبت به امکاناتش",10,2,5,5,5,4,5,4
,,"این دیگه چه طرحی روش انداختن مگه برای بچه هاست",21,22,0,5,5,5,5,0
"کارت گرافيک gtx 970
قيمت نسب به سخت افزار قوي","فقط طرح روش جالب نيس","چن وقته مشخصات لبتاب زیاد دیدم انصافا عالیه نسبت ب رنج قیمتشو مشخصاتی ک داره.فقط این کاوری ک روش داره قشنگ نیس
اگه همین مدل بدون طرحشم هست ممنون میشم کسی بم مدلشو معرفی کنه",25,6,5,5,5,5,5,5
"6GB گرافيک","تصوير روي لپ تاپ","گرافیک 6 gb خوبه نسبت به قیمتش",3,11,4,4,3,5,4,2
"بي نظير","طراحي بچگانه و زشت","سلام
این لپ تاب در حد لپ تاب ام اس آی مدل GE62 6QF Apache Pro هست .
اما با طراحی بچگانه و مزخرفش فک نمیکنم طرفدار زیادی داشته باشه و بیشتر برای بچه ها مناسبه .
اگه بتونن این طرح بچگانه رو حذفش کنن و با یه طرح بسیار ساده که به درد سنین بالا بخوره تولیدش کنن فک میکنم عالی بشه .
درسته مخصوص گیم هستش اما با این نوع طراحی کسی جذبش نمیشه .
نظر بنده اصل لپ تاپ گیم سیستم سخت افزاریش هست تا بتونه بازی هایی با رم و گرافیک بالا رو به سادگی اجرا کنه نه نوع طراحی و زیباییش.
به نظر من لپ تاپ ام اس آی مدل GE62 6QF Apache Pro رو تهیه کنید بسیار بهتر از این لپ تاپه و قیمت کمتری رو هم متقبل میشید
GE62 6QF Apache Pro HOS Laser Print - A این لپتاپ دقیقا مثل لپ تاپ GE62 6QF Apache Pro هست و باید بگم خودشه حتی میتونید مقایسه کنید.",14,25,5,5,3,3,4,0
[],[],"لطفا همینو بدون این طرح موجود کنید",12,3,5,5,5,4,5,4
[],[],"دوستان همین مدل با همین کانفیگ بدون این طرح لیزری تو دیجی کالا هست ولی مدتیه ناموجوده. MSI GE62 6QF _ B",10,4,5,4,5,5,5,5
"نسل skylake پردازنده
هارد هيبريدي با 128 گيگ ssd
Gtx 970m ddr5
رم 16 گيگابايتي ddr4 با باس 2133
وزن بسيار کم با وجود گيمينگ بودن","طراحي کارتوني و بچگانه روي جلد","سلام و خسته نباشید
از دیجیکالا درخواست دارم همین کانفیگ رو بدون این طرح زشت موجود کنه ،مدل بدون طرح لیزر در همه جا موجود هست ( با همین کانفیگ، یه نگاهی به لیست لپ تاپ های نمایندگی msi در ایران بندازید ) نمیدونم چرا دیجیکالا نمیارتش! اینم خدمت دوستان بگم که در خریدش شک نکنید ( البته اگه با این طرح روی جلدش میتونید کنار بیاید که اکثر دوستان این طرح رو بچگانه میدونن ) تنها رقیب این لپ تاپ asus g752 vt هست که حالا حالاها نمیاد و قیمتش هم احتمالا یک میلیونی بیشتر از این هست
پس بهترین نسبت به قیمت و امکاناتش هست
در مورد بازی هم بگم که مهم ترین نقش رو کارت گرافیک داره که gtx 970 از 960 و 965 خیلی خیلی بهتر عمل میکنه و با جرئت میتونم بگم که در رزولوشن فول Hd مشکلی در اجرای اکثر بازی ها با بالاترین تنظیمات گرافیکی نخواهید داشت",5,11,5,4,5,4,5,5
[],[],"این لپ تاپ نسبت به امکاناتش قیمت مناسبی داره و به هیچ وجه نا امیدتون نمیکنه تو اجرای بازی و کارای رندرینگ و چیزای دیگه. تنها عیبی که توش میبینم این طرح روشه،این چیه آخه!! دیجی کالا لطفا همین مدل بدون این طرح کارتونکی رو بیار میدونم خیلیا همین نظر رو دارن.ممنون از دیجی کالا",10,2,5,4,5,5,5,5
"[""صفحه نمايش با کيفيت .\nکارت گرافيک قدرتمند.\nوزن مناسب\nطراحي زيبا ""]","[""کيفيت ساخت \nعمر باطري""]","با یکی از بهترین 15 اینچی های بازار روبرو هستیم که شاید نظیر اون در برندهای دیگر به راحتی قابل دستیابی نباشه.کمتر لب تاپی با صفحه نمایش 15 اینچ در بازار موجود هست که به کارت گرافیک قدرتمند gtx m970 مجهز شده باشه این کارت گرافیک خیال شما رو از اجرای تمام بازی ها و برنامه های گرافیکی راحت میکنه .cpu دستگاه هم یکی از بهترین ها هست و قدرت مناسبی داره بعلاوه کم مصرف هم هست و از نسل های گذشته خودش قدرت بیشتر و مصرف انرژی کمتری داره و گرامای کمتری تولید میکنه.ظاهر دستگاه حس یک لبتاپ گیمینگ رو بهتر القا میکنه البته در بحث انتخاب ظاهر دستگاه سلیقه افراد متفاوت هست. اما چرا قیمت دستگاه کمی از رقبای 15 اینچی دیگش بالاتر هست .استفاده از حافظه ssd .استفاده از کارت گرافیک m970.استفاده از 16 gig رم ddr4.به نظرم این دستگاه یه انتخاب مناسب برای گیمرهایی هست که احتیاج به یک سیستم جمع و جور و قابل حمل دارن.",12,3,5,5,3,4,5,4
,,"دوستان صفحه نمایش 4k برای ابعاد کوچیک یک عیب محسوب میشه چون در این نوع صفحه نمایش ها تراکم پیکسلی بالاست باید ابعاد تصویر بزرگ باشه تا بتونه این تراکم پیگسلی رو ساپورت بده در حالی که لب تاپ ها حد اکثر 17 اینچی هستند و 17 اینچ ابعاد کوچکی هست برای 4k. این نقل از فروشندگان بود خواستم اطلاع رسانی کرده باشم. در ضمن نگران 4k بودن یا نبودن نباشید چون نه فیلم ها و نه بازی ها 4k درست نمیشن به جز ی تعداد خیلی خیلی خیلی خیلی محدود که اصلا در نظر نمیاد این تعداد.",6,8,3,3,3,3,3,3
