id,title,price,userRate,recommendationCount,"کیفیت عمومی عکس و فیلم","کیفیت ساخت",ارگونومی,"امکانات و قابلیت ها","ارزش در برابر قیمت"
170295,"2,319,000","دوربين ديجيتال کانن مدل G7X Mark II
Canon G7X Mark II Digital Camera",۴.۲,0,4.3,4.2,4.1,4.2,4.1,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
149645,"527,000","دوربين ديجيتال کانن مدل Ixus 180
Canon Ixus180 Digital Camera",۳.۳,0,3.2,3.5,3.3,3.2,3.3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
144783,"1,292,000","دوربين ديجيتال کانن مدل EOS 1300D 18-55mm DC III
Canon EOS 1300D 18-55mm DC III",۳.۶,0,3.6,3.7,3.6,3.5,3.5,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
138750,"449,000","دوربين ديجيتال کانن مدل IXUS 175
Canon IXUS 175 Digital Camera",۱.۴,0,1.3,1.5,1.7,1.3,1.3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
137751,"3,319,000","دوربين ديجيتال کانن مدل EOS 70D + 18-55 IS STM
Canon EOS 70D + 18-55 IS STM Digital Camera",۳.۷,0,3.7,3.7,3.7,3.8,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
137309,"1,889,000","دوربين ديجيتال نيکون مدل D5300 18-55 VR AFP
Nikon D5300 18-55 VR AFP Digital Camera",۳.۸,0,3.9,3.8,3.8,3.9,3.9,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
133930,"6,739,000","دوربين ديجيتال نيکون مدل D500
Nikon D500 Body Digital Camera",۴.۷,0,4.7,4.7,4.7,4.9,4.2,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
133916,"1,679,000","دوربين ديجيتال نيکون مدل Coolpix B700
Nikon Coolpix B700 Digital Camera",۳.۶,0,3.5,3.6,3.5,3.8,3.5,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
133912,"1,779,000","دوربين ديجيتال نيکون مدل Coolpix A900
Nikon Coolpix A900 Digital Camera",۳.۲,0,3.3,3,3.1,3.4,3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
133910,"851,000","دوربين ديجيتال کانن مدل PowerShot SX420 IS
Canon PowerShot SX420 IS Digital Camera",۲.۶,0,2.4,2.8,2.5,2.8,2.6,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
133909,"1,259,000","دوربين ديجيتال کانن مدل PowerShot SX540 HS
Canon PowerShot SX540 HS Digital Camera",۴.۳,0,4.3,4.4,4.3,4.3,4.1,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
133901,"21,493,000","دوربين ديجيتال کانن مدل Eos-1D X MarkII
Canon Eos-1D X MarkII Body Digital Camera",۴,0,4.1,4,3.8,4,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
133898,"1,193,000","دوربين ديجيتال کانن مدل Powershot SX720 HS
Canon Powershot SX720 HS Digital Camera",۳.۷,0,3.7,3.8,3.6,3.6,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
133852,"1,179,000","دوربين ديجيتال کانن مدل (Eos 1300D (Eos Rebel T6 بدون لنز
Canon Eos 1300D (Eos Rebel T6) Digital Camera Body Only",۳.۱,0,3,3.4,3.3,3,2.7,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
133613,"1,219,000","دوربين ديجيتال نيکون مدل Coolpix AW130
Nikon Coolpix AW130 Digital Camera",۳.۵,0,3.3,3.8,3.3,3.8,3.2,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
133534,"2,379,000","دوربين ديجيتال کانن مدل G5 X
Canon G5 X Digital Camera",۳.۶,0,3.7,3.7,3.7,3.5,3.2,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
133531,"1,515,000","دوربين ديجيتال نيکون D3300 کيت 18-55 VR AFP
Nikon D3300 Kit 18-55 VR AFP Digital Camera",۳.۸,0,3.9,3.7,3.8,3.7,3.9,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
116658,"2,319,000","دوربين ديجيتال نيکون مدل D7100 Body
Nikon D7100 Body Digital Camera",۳.۸,0,3.8,3.9,3.7,3.8,3.7,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
111497,"1,549,000","دوربين ديجيتال کانن مدل Powershot G9X
Canon Powershot G9X Digital Camera",۳.۵,0,3.5,3.7,3.3,3.3,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
98691,"10,799,000","دوربين ديجيتال نيکون مدل D810 Kit 24-120 F/4G VR
Nikon D810 Kit 24-120mm F/4G VR Digital Camera",۴.۳,0,4.5,4.5,4.4,4.3,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
